"fecha","año","mes","est","Phylum","Clase","Orden","Familia","Género","taxa","conteo"
2014-10-01,2014,10,"LC-01","Chlorophyta","Trebouxiophyceae","Oocystales","Oocystaceae","Pachycladella","Pachycladella",0
2014-10-01,2014,10,"LC-01","Euglenozoa","Euglenoidea","Euglenida","Phacidae","Phacus","Phacus",6
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Planktothrix","Planktothrix",13
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Planktolyngbya","Planktolyngbya sp",25
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Raphidiopsis","Raphidiopsis",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia","Rivularia",2
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus acuminatus",17
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus cuadricauda",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus dimorphus",4
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","Selenastrum",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Snowella","Snowella",0
2014-10-01,2014,10,"LC-01","Bacillariophyta","Bacillariophyceae","Surirellales","Surirellaceae","Surirella","Surirella",0
2014-10-01,2014,10,"LC-01","Charophyta","Zygnematophyceae","Zygnematales","Desmidiaceae","Staurastrum","Staurastrum",0
2014-10-01,2014,10,"LC-01","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Stephanodiscus","Stephanodiscus",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Tetrastrum","Tetrastrum",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Chlamydomonadales","Treubariaceae","Treubaria","Treubaria",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Woronichinia","Woronichinia",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Actinastrum","Actinastrum sp",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Anacystis","Anacystis",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus falcatus",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Aphanizomenon","Aphanizomenon",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Aphanocapsa","Aphanocapsa",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Arthrospira","Arthrospira",0
2014-10-01,2014,10,"LC-02","Bacillariophyta","Bacillariophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira","Aulacoseira",2
2014-10-01,2014,10,"LC-02","Chlorophyta","Trebouxiophyceae","Trebouxiales","Botryococcaceae","Botryococcus","Botryococcus",4
2014-10-01,2014,10,"LC-02","Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium",0
2014-10-01,2014,10,"LC-02","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Cyclotella","Cyclotella",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermopsis","Cylindrospermopsis",3
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermun","Cylindrospermun",0
2014-10-01,2014,10,"LC-02","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Cymbella",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Chlorella","Chlorella",10
2014-10-01,2014,10,"LC-02","Charophyta","Zygnematophyceae","Zygnematales","Closteriaceae","Closterium","Closterium",1
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","Coelastrum",9
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Coelosphaerium","Coelosphaerium",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Chroococcus","Chroococcus",0
2014-10-01,2014,10,"LC-02","Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinosicaceae","Coscinodiscus","Coscinodiscus",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia","Crucigenia tetrapoda",4
2014-10-01,2014,10,"LC-02","Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia","Crucigenia irregularis",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Chlorellales","Chlorellaceae","Dyctiosphaerium","Dyctiosphaerium",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Eudorina","Eudorina",0
2014-10-01,2014,10,"LC-02","Euglenozoa","Euglenoidea","Euglenida","Euglenaceae","Euglena","Euglena",3
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gloeocapsaceae","Gloeocapsa","Gloeocapsa",3
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Gomphosphaeria","Gomphosphaeria lacustris",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Neochloridaceae","Golenkinia","Golenkinia",0
2014-10-01,2014,10,"LC-02","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Fragilaria","Fragilaria capuchina",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Kirchneriella","Kirchneriella",1
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya","Leptolyngbya",8
2014-10-01,2014,10,"LC-02","Euglenozoa","Euglenoidea","Euglenida","Phacidae","Lepocinclis","Lepocinclis",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Lyngbya","Lyngbya lagerhemii",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Chamaesiphonaceae","Merismopedia","Merismopedia",2
2014-10-01,2014,10,"LC-02","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Micractinium","Micractinium",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis","Microcystis sp",6
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Monoraphidium","Monoraphidium tortilé",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Monoraphidium","Monoraphidium griffithi",0
2014-10-01,2014,10,"LC-02","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula",8
2014-10-01,2014,10,"LC-02","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Oscillatoria","Oscillatoria",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Pandorina","Pandorina",2
2014-10-01,2014,10,"LC-02","Chlorophyta","Trebouxiophyceae","Oocystales","Oocystaceae","Pachycladella","Pachycladella",0
2014-10-01,2014,10,"LC-02","Euglenozoa","Euglenoidea","Euglenida","Phacidae","Phacus","Phacus",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Planktothrix","Planktothrix",15
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Planktolyngbya","Planktolyngbya sp",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Raphidiopsis","Raphidiopsis",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia","Rivularia",1
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus acuminatus",5
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus cuadricauda",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus dimorphus",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","Selenastrum",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Snowella","Snowella",0
2014-10-01,2014,10,"LC-02","Bacillariophyta","Bacillariophyceae","Surirellales","Surirellaceae","Surirella","Surirella",0
2014-10-01,2014,10,"LC-02","Charophyta","Zygnematophyceae","Zygnematales","Desmidiaceae","Staurastrum","Staurastrum",0
2014-10-01,2014,10,"LC-02","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Stephanodiscus","Stephanodiscus",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Tetrastrum","Tetrastrum",0
2014-10-01,2014,10,"LC-02","Chlorophyta","Chlorophyceae","Chlamydomonadales","Treubariaceae","Treubaria","Treubaria",0
2014-10-01,2014,10,"LC-02","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Woronichinia","Woronichinia",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Actinastrum","Actinastrum sp",2
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Anacystis","Anacystis",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus",3
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus falcatus",1
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Aphanizomenon","Aphanizomenon",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Aphanocapsa","Aphanocapsa",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Arthrospira","Arthrospira",0
2014-10-01,2014,10,"LC-03","Bacillariophyta","Bacillariophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira","Aulacoseira",1
2014-10-01,2014,10,"LC-03","Chlorophyta","Trebouxiophyceae","Trebouxiales","Botryococcaceae","Botryococcus","Botryococcus",0
2014-10-01,2014,10,"LC-03","Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium",0
2014-10-01,2014,10,"LC-03","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Cyclotella","Cyclotella",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermopsis","Cylindrospermopsis",110
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermun","Cylindrospermun",0
2014-10-01,2014,10,"LC-03","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Cymbella",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Chlorella","Chlorella",7
2014-10-01,2014,10,"LC-03","Charophyta","Zygnematophyceae","Zygnematales","Closteriaceae","Closterium","Closterium",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","Coelastrum",1
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Coelosphaerium","Coelosphaerium",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Chroococcus","Chroococcus",5
2014-10-01,2014,10,"LC-03","Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinosicaceae","Coscinodiscus","Coscinodiscus",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia","Crucigenia tetrapoda",4
2014-10-01,2014,10,"LC-03","Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia","Crucigenia irregularis",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Chlorellales","Chlorellaceae","Dyctiosphaerium","Dyctiosphaerium",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Eudorina","Eudorina",2
2014-10-01,2014,10,"LC-03","Euglenozoa","Euglenoidea","Euglenida","Euglenaceae","Euglena","Euglena",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gloeocapsaceae","Gloeocapsa","Gloeocapsa",1
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Gomphosphaeria","Gomphosphaeria lacustris",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Neochloridaceae","Golenkinia","Golenkinia",0
2014-10-01,2014,10,"LC-03","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Fragilaria","Fragilaria capuchina",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Kirchneriella","Kirchneriella",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya","Leptolyngbya",29
2014-10-01,2014,10,"LC-03","Euglenozoa","Euglenoidea","Euglenida","Phacidae","Lepocinclis","Lepocinclis",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Lyngbya","Lyngbya lagerhemii",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Chamaesiphonaceae","Merismopedia","Merismopedia",3
2014-10-01,2014,10,"LC-03","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Micractinium","Micractinium",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis","Microcystis sp",3
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Monoraphidium","Monoraphidium tortilé",2
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Monoraphidium","Monoraphidium griffithi",0
2014-10-01,2014,10,"LC-03","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula",0
2014-10-01,2014,10,"LC-03","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia",3
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Oscillatoria","Oscillatoria",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Pandorina","Pandorina",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Trebouxiophyceae","Oocystales","Oocystaceae","Pachycladella","Pachycladella",0
2014-10-01,2014,10,"LC-03","Euglenozoa","Euglenoidea","Euglenida","Phacidae","Phacus","Phacus",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Planktothrix","Planktothrix",12
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Planktolyngbya","Planktolyngbya sp",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Raphidiopsis","Raphidiopsis",28
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia","Rivularia",1
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus acuminatus",5
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus cuadricauda",2
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus dimorphus",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","Selenastrum",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Snowella","Snowella",0
2014-10-01,2014,10,"LC-03","Bacillariophyta","Bacillariophyceae","Surirellales","Surirellaceae","Surirella","Surirella",0
2014-10-01,2014,10,"LC-03","Charophyta","Zygnematophyceae","Zygnematales","Desmidiaceae","Staurastrum","Staurastrum",0
2014-10-01,2014,10,"LC-03","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Stephanodiscus","Stephanodiscus",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Tetrastrum","Tetrastrum",0
2014-10-01,2014,10,"LC-03","Chlorophyta","Chlorophyceae","Chlamydomonadales","Treubariaceae","Treubaria","Treubaria",0
2014-10-01,2014,10,"LC-03","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Woronichinia","Woronichinia",0
2014-10-01,2014,10,"LC-04","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Actinastrum","Actinastrum sp",0
2014-10-01,2014,10,"LC-04","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Anacystis","Anacystis",0
2014-10-01,2014,10,"LC-04","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus",9
2014-10-01,2014,10,"LC-04","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus falcatus",0
2014-10-01,2014,10,"LC-04","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Aphanizomenon","Aphanizomenon",0
2014-10-01,2014,10,"LC-04","Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Aphanocapsa","Aphanocapsa",0
2014-10-01,2014,10,"LC-04","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Arthrospira","Arthrospira",0
2014-10-01,2014,10,"LC-04","Bacillariophyta","Bacillariophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira","Aulacoseira",1
2014-10-01,2014,10,"LC-04","Chlorophyta","Trebouxiophyceae","Trebouxiales","Botryococcaceae","Botryococcus","Botryococcus",0
2014-10-01,2014,10,"LC-04","Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium",0
2014-10-01,2014,10,"LC-04","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Cyclotella","Cyclotella",8
