"","year","month","est","taxa","count"
"53",2014,10,1,"Snowella",0
"54",2014,10,1,"Surirella",0
"55",2014,10,1,"Staurastrum",0
"56",2014,10,1,"Stephanodiscus",0
"57",2014,10,1,"Synechoccocus",0
"58",2014,10,1,"Tetrastrum",0
"59",2014,10,1,"Treubaria",0
"60",2014,10,1,"Woronichinia",0
"61",2014,10,2,"Anacystis",0
"62",2014,10,2,"Ankistrodesmus",0
"63",2014,10,2,"Ankistrodesmus falcatus",0
"64",2014,10,2,"Aphanizomenon",0
"65",2014,10,2,"Aphanocapsa",0
"66",2014,10,2,"Arthrospira",0
"67",2014,10,2,"Aulacoseira",2
"68",2014,10,2,"Botryococcus",4
"69",2014,10,2,"Ceratium",0
"70",2014,10,2,"Cyclotella",0
"71",2014,10,2,"Cilindrospermopsis",3
"72",2014,10,2,"Cilindrospermun",0
"73",2014,10,2,"Cimbela",0
"74",2014,10,2,"Chlorella",10
"75",2014,10,2,"Closterium",1
"76",2014,10,2,"Coelastrum",9
"77",2014,10,2,"Coelosphaerium",0
"78",2014,10,2,"Chroococcus",0
"79",2014,10,2,"Coscinodiscus",0
"80",2014,10,2,"Crucigenia tetrapoda",4
"81",2014,10,2,"Crucigenia irregularis",0
"82",2014,10,2,"Dyctiosphaerium",0
"83",2014,10,2,"Eudorina",0
"84",2014,10,2,"Euglena",3
"85",2014,10,2,"Gloeopcapsa",3
"86",2014,10,2,"Gomphosphaeria lacustris",0
"87",2014,10,2,"Golenkinia",0
"88",2014,10,2,"Fragilaria capuchina",0
"89",2014,10,2,"Kirchneirella",1
"90",2014,10,2,"Leptolyngbya",8
"91",2014,10,2,"Leponcinclis",0
"92",2014,10,2,"Lyngbya lagerhemii",0
"93",2014,10,2,"Merismopedia",2
"94",2014,10,2,"Micractinium",0
"95",2014,10,2,"Microcystis sp",6
"96",2014,10,2,"Monoraphydium tortilé",0
"97",2014,10,2,"Monoraphydium griffithi",0
"98",2014,10,2,"Navicula",8
"99",2014,10,2,"Nitzchia",0
"100",2014,10,2,"Oscillatoria",0
"101",2014,10,2,"Pandorina",2
"102",2014,10,2,"Pachycladella",0
"103",2014,10,2,"Phacus",0
"104",2014,10,2,"Plantotrix",15
"105",2014,10,2,"Planctolyngbya sp",0
"106",2014,10,2,"Pseudo Anabaena",0
"107",2014,10,2,"Raphidiopsis",0
"108",2014,10,2,"Rivularia",1
"109",2014,10,2,"Scenedesmus acuminatus",5
"110",2014,10,2,"Scenedesmus cuadricauda",0
"111",2014,10,2,"Scenedesmus dimorphus",0
"112",2014,10,2,"Selenastrum",0
"113",2014,10,2,"Snowella",0
"114",2014,10,2,"Surirella",0
"115",2014,10,2,"Staurastrum",0
"116",2014,10,2,"Stephanodiscus",0
"117",2014,10,2,"Synechoccocus",0
"118",2014,10,2,"Tetrastrum",0
"119",2014,10,2,"Treubaria",0
"120",2014,10,2,"Woronichinia",0
"121",2014,10,3,"Anacystis",0
"122",2014,10,3,"Ankistrodesmus",3
"123",2014,10,3,"Ankistrodesmus falcatus",1
"124",2014,10,3,"Aphanizomenon",0
"125",2014,10,3,"Aphanocapsa",0
"126",2014,10,3,"Arthrospira",0
"127",2014,10,3,"Aulacoseira",1
"128",2014,10,3,"Botryococcus",0
"129",2014,10,3,"Ceratium",0
"130",2014,10,3,"Cyclotella",0
"131",2014,10,3,"Cilindrospermopsis",110
"132",2014,10,3,"Cilindrospermun",0
"133",2014,10,3,"Cimbela",0
"134",2014,10,3,"Chlorella",7
"135",2014,10,3,"Closterium",0
"136",2014,10,3,"Coelastrum",1
"137",2014,10,3,"Coelosphaerium",0
"138",2014,10,3,"Chroococcus",5
"139",2014,10,3,"Coscinodiscus",0
"140",2014,10,3,"Crucigenia tetrapoda",4
"141",2014,10,3,"Crucigenia irregularis",0
"142",2014,10,3,"Dyctiosphaerium",0
"143",2014,10,3,"Eudorina",2
"144",2014,10,3,"Euglena",0
"145",2014,10,3,"Gloeopcapsa",1
"146",2014,10,3,"Gomphosphaeria lacustris",0
"147",2014,10,3,"Golenkinia",0
"148",2014,10,3,"Fragilaria capuchina",0
"149",2014,10,3,"Kirchneirella",0
"150",2014,10,3,"Leptolyngbya",29
"151",2014,10,3,"Leponcinclis",0
"152",2014,10,3,"Lyngbya lagerhemii",0
"153",2014,10,3,"Merismopedia",3
"154",2014,10,3,"Micractinium",0
"155",2014,10,3,"Microcystis sp",3
"156",2014,10,3,"Monoraphydium tortilé",2
"157",2014,10,3,"Monoraphydium griffithi",0
"158",2014,10,3,"Navicula",0
"159",2014,10,3,"Nitzchia",3
"160",2014,10,3,"Oscillatoria",0
"161",2014,10,3,"Pandorina",0
"162",2014,10,3,"Pachycladella",0
"163",2014,10,3,"Phacus",0
"164",2014,10,3,"Plantotrix",12
"165",2014,10,3,"Planctolyngbya sp",0
"166",2014,10,3,"Pseudo Anabaena",0
"167",2014,10,3,"Raphidiopsis",28
"168",2014,10,3,"Rivularia",1
"169",2014,10,3,"Scenedesmus acuminatus",5
"170",2014,10,3,"Scenedesmus cuadricauda",2
"171",2014,10,3,"Scenedesmus dimorphus",0
"172",2014,10,3,"Selenastrum",0
"173",2014,10,3,"Snowella",0
"174",2014,10,3,"Surirella",0
"175",2014,10,3,"Staurastrum",0
"176",2014,10,3,"Stephanodiscus",0
"177",2014,10,3,"Synechoccocus",0
"178",2014,10,3,"Tetrastrum",0
"179",2014,10,3,"Treubaria",0
"180",2014,10,3,"Woronichinia",0
"181",2014,10,4,"Anacystis",0
"182",2014,10,4,"Ankistrodesmus",9
"183",2014,10,4,"Ankistrodesmus falcatus",0
"184",2014,10,4,"Aphanizomenon",0
"185",2014,10,4,"Aphanocapsa",0
"186",2014,10,4,"Arthrospira",0
"187",2014,10,4,"Aulacoseira",1
"188",2014,10,4,"Botryococcus",0
"189",2014,10,4,"Ceratium",0
"190",2014,10,4,"Cyclotella",8
"191",2014,10,4,"Cilindrospermopsis",437
"192",2014,10,4,"Cilindrospermun",0
"193",2014,10,4,"Cimbela",0
"194",2014,10,4,"Chlorella",15
"195",2014,10,4,"Closterium",0
"196",2014,10,4,"Coelastrum",2
"197",2014,10,4,"Coelosphaerium",0
"198",2014,10,4,"Chroococcus",21
"199",2014,10,4,"Coscinodiscus",0
"200",2014,10,4,"Crucigenia tetrapoda",8
"201",2014,10,4,"Crucigenia irregularis",0
"202",2014,10,4,"Dyctiosphaerium",0
"203",2014,10,4,"Eudorina",12
"204",2014,10,4,"Euglena",0
"205",2014,10,4,"Gloeopcapsa",0
"206",2014,10,4,"Gomphosphaeria lacustris",0
"207",2014,10,4,"Golenkinia",0
"208",2014,10,4,"Fragilaria capuchina",0
"209",2014,10,4,"Kirchneirella",1
"210",2014,10,4,"Leptolyngbya",7
"211",2014,10,4,"Leponcinclis",0
"212",2014,10,4,"Lyngbya lagerhemii",0
"213",2014,10,4,"Merismopedia",0
"214",2014,10,4,"Micractinium",0
"215",2014,10,4,"Microcystis sp",11
"216",2014,10,4,"Monoraphydium tortilé",13
"217",2014,10,4,"Monoraphydium griffithi",0
"218",2014,10,4,"Navicula",3
"219",2014,10,4,"Nitzchia",16
"220",2014,10,4,"Oscillatoria",0
"221",2014,10,4,"Pandorina",0
"222",2014,10,4,"Pachycladella",0
"223",2014,10,4,"Phacus",0
"224",2014,10,4,"Plantotrix",16
"225",2014,10,4,"Planctolyngbya sp",0
"226",2014,10,4,"Pseudo Anabaena",0
"227",2014,10,4,"Raphidiopsis",0
"228",2014,10,4,"Rivularia",96
"229",2014,10,4,"Scenedesmus acuminatus",0
"230",2014,10,4,"Scenedesmus cuadricauda",4
"231",2014,10,4,"Scenedesmus dimorphus",1
"232",2014,10,4,"Selenastrum",0
"233",2014,10,4,"Snowella",0
"234",2014,10,4,"Surirella",0
"235",2014,10,4,"Staurastrum",0
"236",2014,10,4,"Stephanodiscus",0
"237",2014,10,4,"Synechoccocus",0
"238",2014,10,4,"Tetrastrum",2
"239",2014,10,4,"Treubaria",2
"240",2014,10,4,"Woronichinia",0
"241",2014,10,5,"Anacystis",0
"242",2014,10,5,"Ankistrodesmus",0
"243",2014,10,5,"Ankistrodesmus falcatus",0
"244",2014,10,5,"Aphanizomenon",0
"245",2014,10,5,"Aphanocapsa",0
"246",2014,10,5,"Arthrospira",0
"247",2014,10,5,"Aulacoseira",2
"248",2014,10,5,"Botryococcus",0
"249",2014,10,5,"Ceratium",0
"250",2014,10,5,"Cyclotella",0
"251",2014,10,5,"Cilindrospermopsis",2493
"252",2014,10,5,"Cilindrospermun",0
"253",2014,10,5,"Cimbela",0
"254",2014,10,5,"Chlorella",11
"255",2014,10,5,"Closterium",0
"256",2014,10,5,"Coelastrum",0
"257",2014,10,5,"Coelosphaerium",0
"258",2014,10,5,"Chroococcus",0
"259",2014,10,5,"Coscinodiscus",0
"260",2014,10,5,"Crucigenia tetrapoda",0
"261",2014,10,5,"Crucigenia irregularis",0
"262",2014,10,5,"Dyctiosphaerium",0
"263",2014,10,5,"Eudorina",11
"264",2014,10,5,"Euglena",0
"265",2014,10,5,"Gloeopcapsa",1
"266",2014,10,5,"Gomphosphaeria lacustris",0
"267",2014,10,5,"Golenkinia",0
"268",2014,10,5,"Fragilaria capuchina",0
"269",2014,10,5,"Kirchneirella",0
"270",2014,10,5,"Leptolyngbya",0
"271",2014,10,5,"Leponcinclis",0
"272",2014,10,5,"Lyngbya lagerhemii",0
"273",2014,10,5,"Merismopedia",2
"274",2014,10,5,"Micractinium",0
"275",2014,10,5,"Microcystis sp",7
"276",2014,10,5,"Monoraphydium tortilé",3
"277",2014,10,5,"Monoraphydium griffithi",0
"278",2014,10,5,"Navicula",0
"279",2014,10,5,"Nitzchia",7
"280",2014,10,5,"Oscillatoria",0
"281",2014,10,5,"Pandorina",0
"282",2014,10,5,"Pachycladella",0
"283",2014,10,5,"Phacus",0
"284",2014,10,5,"Plantotrix",12
"285",2014,10,5,"Planctolyngbya sp",6
"286",2014,10,5,"Pseudo Anabaena",0
"287",2014,10,5,"Raphidiopsis",144
"288",2014,10,5,"Rivularia",0
"289",2014,10,5,"Scenedesmus acuminatus",3
"290",2014,10,5,"Scenedesmus cuadricauda",0
"291",2014,10,5,"Scenedesmus dimorphus",0
"292",2014,10,5,"Selenastrum",0
"293",2014,10,5,"Snowella",0
"294",2014,10,5,"Surirella",0
"295",2014,10,5,"Staurastrum",0
"296",2014,10,5,"Stephanodiscus",0
"297",2014,10,5,"Synechoccocus",0
"298",2014,10,5,"Tetrastrum",0
"299",2014,10,5,"Treubaria",0
"300",2014,10,5,"Woronichinia",0
"301",2014,11,1,"Anacystis",0
"302",2014,11,1,"Ankistrodesmus",8
"303",2014,11,1,"Ankistrodesmus falcatus",0
"304",2014,11,1,"Aphanizomenon",0
"305",2014,11,1,"Aphanocapsa",0
"306",2014,11,1,"Arthrospira",0
"307",2014,11,1,"Aulacoseira",3
"308",2014,11,1,"Botryococcus",0
"309",2014,11,1,"Ceratium",0
"310",2014,11,1,"Cyclotella",0
"311",2014,11,1,"Cilindrospermopsis",252
"312",2014,11,1,"Cilindrospermun",0
"313",2014,11,1,"Cimbela",0
"314",2014,11,1,"Chlorella",8
"315",2014,11,1,"Closterium",0
"316",2014,11,1,"Coelastrum",0
"317",2014,11,1,"Coelosphaerium",0
"318",2014,11,1,"Chroococcus",1
"319",2014,11,1,"Coscinodiscus",0
"320",2014,11,1,"Crucigenia tetrapoda",0
"321",2014,11,1,"Crucigenia irregularis",0
"322",2014,11,1,"Dyctiosphaerium",0
"323",2014,11,1,"Eudorina",12
"324",2014,11,1,"Euglena",0
"325",2014,11,1,"Gloeopcapsa",1
"326",2014,11,1,"Gomphosphaeria lacustris",0
"327",2014,11,1,"Golenkinia",0
"328",2014,11,1,"Fragilaria capuchina",0
"329",2014,11,1,"Kirchneirella",0
"330",2014,11,1,"Leptolyngbya",8
"331",2014,11,1,"Leponcinclis",0
"332",2014,11,1,"Lyngbya lagerhemii",0
"333",2014,11,1,"Merismopedia",6
"334",2014,11,1,"Micractinium",0
"335",2014,11,1,"Microcystis sp",2
"336",2014,11,1,"Monoraphydium tortilé",4
"337",2014,11,1,"Monoraphydium griffithi",0
"338",2014,11,1,"Navicula",0
"339",2014,11,1,"Nitzchia",2
"340",2014,11,1,"Oscillatoria",0
"341",2014,11,1,"Pandorina",0
"342",2014,11,1,"Pachycladella",0
"343",2014,11,1,"Phacus",2
"344",2014,11,1,"Plantotrix",22
"345",2014,11,1,"Planctolyngbya sp",1
"346",2014,11,1,"Pseudo Anabaena",0
"347",2014,11,1,"Raphidiopsis",26
"348",2014,11,1,"Rivularia",0
"349",2014,11,1,"Scenedesmus acuminatus",8
"350",2014,11,1,"Scenedesmus cuadricauda",5
"351",2014,11,1,"Scenedesmus dimorphus",0
"352",2014,11,1,"Selenastrum",10
"353",2014,11,1,"Snowella",0
"354",2014,11,1,"Surirella",0
"355",2014,11,1,"Staurastrum",0
"356",2014,11,1,"Stephanodiscus",0
"357",2014,11,1,"Synechoccocus",0
"358",2014,11,1,"Tetrastrum",3
"359",2014,11,1,"Treubaria",3
"360",2014,11,1,"Woronichinia",0
"361",2014,11,2,"Anacystis",0
"362",2014,11,2,"Ankistrodesmus",6
"363",2014,11,2,"Ankistrodesmus falcatus",0
"364",2014,11,2,"Aphanizomenon",0
"365",2014,11,2,"Aphanocapsa",0
"366",2014,11,2,"Arthrospira",0
"367",2014,11,2,"Aulacoseira",2
"368",2014,11,2,"Botryococcus",0
"369",2014,11,2,"Ceratium",0
"370",2014,11,2,"Cyclotella",7
"371",2014,11,2,"Cilindrospermopsis",978
"372",2014,11,2,"Cilindrospermun",0
"373",2014,11,2,"Cimbela",0
"374",2014,11,2,"Chlorella",37
"375",2014,11,2,"Closterium",0
"376",2014,11,2,"Coelastrum",0
"377",2014,11,2,"Coelosphaerium",0
"378",2014,11,2,"Chroococcus",6
"379",2014,11,2,"Coscinodiscus",0
"380",2014,11,2,"Crucigenia tetrapoda",0
"381",2014,11,2,"Crucigenia irregularis",0
"382",2014,11,2,"Dyctiosphaerium",0
"383",2014,11,2,"Eudorina",6
"384",2014,11,2,"Euglena",0
"385",2014,11,2,"Gloeopcapsa",3
"386",2014,11,2,"Gomphosphaeria lacustris",0
"387",2014,11,2,"Golenkinia",0
"388",2014,11,2,"Fragilaria capuchina",0
"389",2014,11,2,"Kirchneirella",0
"390",2014,11,2,"Leptolyngbya",9
"391",2014,11,2,"Leponcinclis",0
"392",2014,11,2,"Lyngbya lagerhemii",0
"393",2014,11,2,"Merismopedia",11
"394",2014,11,2,"Micractinium",0
"395",2014,11,2,"Microcystis sp",7
"396",2014,11,2,"Monoraphydium tortilé",2
"397",2014,11,2,"Monoraphydium griffithi",0
"398",2014,11,2,"Navicula",2
"399",2014,11,2,"Nitzchia",4
"400",2014,11,2,"Oscillatoria",0
"401",2014,11,2,"Pandorina",2
"402",2014,11,2,"Pachycladella",0
"403",2014,11,2,"Phacus",3
"404",2014,11,2,"Plantotrix",35
"405",2014,11,2,"Planctolyngbya sp",0
"406",2014,11,2,"Pseudo Anabaena",0
"407",2014,11,2,"Raphidiopsis",56
"408",2014,11,2,"Rivularia",0
"409",2014,11,2,"Scenedesmus acuminatus",4
"410",2014,11,2,"Scenedesmus cuadricauda",0
"411",2014,11,2,"Scenedesmus dimorphus",0
"412",2014,11,2,"Selenastrum",3
"413",2014,11,2,"Snowella",0
"414",2014,11,2,"Surirella",0
"415",2014,11,2,"Staurastrum",0
"416",2014,11,2,"Stephanodiscus",0
"417",2014,11,2,"Synechoccocus",0
"418",2014,11,2,"Tetrastrum",0
"419",2014,11,2,"Treubaria",0
"420",2014,11,2,"Woronichinia",0
"421",2014,11,3,"Anacystis",0
"422",2014,11,3,"Ankistrodesmus",6
"423",2014,11,3,"Ankistrodesmus falcatus",1
"424",2014,11,3,"Aphanizomenon",0
"425",2014,11,3,"Aphanocapsa",0
"426",2014,11,3,"Arthrospira",0
"427",2014,11,3,"Aulacoseira",0
"428",2014,11,3,"Botryococcus",0
"429",2014,11,3,"Ceratium",0
"430",2014,11,3,"Cyclotella",0
"431",2014,11,3,"Cilindrospermopsis",518
"432",2014,11,3,"Cilindrospermun",0
"433",2014,11,3,"Cimbela",3
"434",2014,11,3,"Chlorella",14
"435",2014,11,3,"Closterium",2
"436",2014,11,3,"Coelastrum",0
"437",2014,11,3,"Coelosphaerium",0
"438",2014,11,3,"Chroococcus",4
"439",2014,11,3,"Coscinodiscus",0
"440",2014,11,3,"Crucigenia tetrapoda",12
"441",2014,11,3,"Crucigenia irregularis",0
"442",2014,11,3,"Dyctiosphaerium",0
"443",2014,11,3,"Eudorina",13
"444",2014,11,3,"Euglena",0
"445",2014,11,3,"Gloeopcapsa",0
"446",2014,11,3,"Gomphosphaeria lacustris",0
"447",2014,11,3,"Golenkinia",0
"448",2014,11,3,"Fragilaria capuchina",0
"449",2014,11,3,"Kirchneirella",2
"450",2014,11,3,"Leptolyngbya",0
"451",2014,11,3,"Leponcinclis",0
"452",2014,11,3,"Lyngbya lagerhemii",0
"453",2014,11,3,"Merismopedia",13
"454",2014,11,3,"Micractinium",0
"455",2014,11,3,"Microcystis sp",3
"456",2014,11,3,"Monoraphydium tortilé",6
"457",2014,11,3,"Monoraphydium griffithi",0
"458",2014,11,3,"Navicula",2
"459",2014,11,3,"Nitzchia",0
"460",2014,11,3,"Oscillatoria",0
"461",2014,11,3,"Pandorina",0
"462",2014,11,3,"Pachycladella",0
"463",2014,11,3,"Phacus",3
"464",2014,11,3,"Plantotrix",37
"465",2014,11,3,"Planctolyngbya sp",3
"466",2014,11,3,"Pseudo Anabaena",0
"467",2014,11,3,"Raphidiopsis",23
"468",2014,11,3,"Rivularia",0
"469",2014,11,3,"Scenedesmus acuminatus",8
"470",2014,11,3,"Scenedesmus cuadricauda",0
"471",2014,11,3,"Scenedesmus dimorphus",4
"472",2014,11,3,"Selenastrum",6
"473",2014,11,3,"Snowella",0
"474",2014,11,3,"Surirella",0
"475",2014,11,3,"Staurastrum",0
"476",2014,11,3,"Stephanodiscus",0
"477",2014,11,3,"Synechoccocus",0
"478",2014,11,3,"Tetrastrum",0
"479",2014,11,3,"Treubaria",0
"480",2014,11,3,"Woronichinia",0
"481",2014,11,4,"Anacystis",0
"482",2014,11,4,"Ankistrodesmus",4
"483",2014,11,4,"Ankistrodesmus falcatus",0
"484",2014,11,4,"Aphanizomenon",0
"485",2014,11,4,"Aphanocapsa",0
"486",2014,11,4,"Arthrospira",0
"487",2014,11,4,"Aulacoseira",2
"488",2014,11,4,"Botryococcus",0
"489",2014,11,4,"Ceratium",0
"490",2014,11,4,"Cyclotella",0
"491",2014,11,4,"Cilindrospermopsis",514
"492",2014,11,4,"Cilindrospermun",0
"493",2014,11,4,"Cimbela",0
"494",2014,11,4,"Chlorella",6
"495",2014,11,4,"Closterium",0
"496",2014,11,4,"Coelastrum",0
"497",2014,11,4,"Coelosphaerium",0
"498",2014,11,4,"Chroococcus",4
"499",2014,11,4,"Coscinodiscus",0
"500",2014,11,4,"Crucigenia tetrapoda",0
"501",2014,11,4,"Crucigenia irregularis",0
"502",2014,11,4,"Dyctiosphaerium",0
"503",2014,11,4,"Eudorina",4
"504",2014,11,4,"Euglena",0
"505",2014,11,4,"Gloeopcapsa",2
"506",2014,11,4,"Gomphosphaeria lacustris",0
"507",2014,11,4,"Golenkinia",0
"508",2014,11,4,"Fragilaria capuchina",0
"509",2014,11,4,"Kirchneirella",0
"510",2014,11,4,"Leptolyngbya",7
"511",2014,11,4,"Leponcinclis",0
"512",2014,11,4,"Lyngbya lagerhemii",0
"513",2014,11,4,"Merismopedia",4
"514",2014,11,4,"Micractinium",0
"515",2014,11,4,"Microcystis sp",3
"516",2014,11,4,"Monoraphydium tortilé",1
"517",2014,11,4,"Monoraphydium griffithi",0
"518",2014,11,4,"Navicula",0
"519",2014,11,4,"Nitzchia",0
"520",2014,11,4,"Oscillatoria",0
"521",2014,11,4,"Pandorina",0
"522",2014,11,4,"Pachycladella",0
"523",2014,11,4,"Phacus",2
"524",2014,11,4,"Plantotrix",32
"525",2014,11,4,"Planctolyngbya sp",1
"526",2014,11,4,"Pseudo Anabaena",0
"527",2014,11,4,"Raphidiopsis",514
"528",2014,11,4,"Rivularia",0
"529",2014,11,4,"Scenedesmus acuminatus",3
"530",2014,11,4,"Scenedesmus cuadricauda",0
"531",2014,11,4,"Scenedesmus dimorphus",3
"532",2014,11,4,"Selenastrum",0
"533",2014,11,4,"Snowella",0
"534",2014,11,4,"Surirella",0
"535",2014,11,4,"Staurastrum",0
"536",2014,11,4,"Stephanodiscus",0
"537",2014,11,4,"Synechoccocus",0
"538",2014,11,4,"Tetrastrum",2
"539",2014,11,4,"Treubaria",2
"540",2014,11,4,"Woronichinia",0
"541",2014,11,5,"Anacystis",0
"542",2014,11,5,"Ankistrodesmus",3
"543",2014,11,5,"Ankistrodesmus falcatus",0
"544",2014,11,5,"Aphanizomenon",0
"545",2014,11,5,"Aphanocapsa",0
"546",2014,11,5,"Arthrospira",0
"547",2014,11,5,"Aulacoseira",3
"548",2014,11,5,"Botryococcus",0
"549",2014,11,5,"Ceratium",0
"550",2014,11,5,"Cyclotella",0
"551",2014,11,5,"Cilindrospermopsis",572
"552",2014,11,5,"Cilindrospermun",0
"553",2014,11,5,"Cimbela",0
"554",2014,11,5,"Chlorella",7
"555",2014,11,5,"Closterium",0
"556",2014,11,5,"Coelastrum",0
"557",2014,11,5,"Coelosphaerium",0
"558",2014,11,5,"Chroococcus",3
"559",2014,11,5,"Coscinodiscus",0
"560",2014,11,5,"Crucigenia tetrapoda",1
"561",2014,11,5,"Crucigenia irregularis",0
"562",2014,11,5,"Dyctiosphaerium",0
"563",2014,11,5,"Eudorina",12
"564",2014,11,5,"Euglena",0
"565",2014,11,5,"Gloeopcapsa",1
"566",2014,11,5,"Gomphosphaeria lacustris",0
"567",2014,11,5,"Golenkinia",0
"568",2014,11,5,"Fragilaria capuchina",0
"569",2014,11,5,"Kirchneirella",1
"570",2014,11,5,"Leptolyngbya",3
"571",2014,11,5,"Leponcinclis",0
"572",2014,11,5,"Lyngbya lagerhemii",0
"573",2014,11,5,"Merismopedia",9
"574",2014,11,5,"Micractinium",0
"575",2014,11,5,"Microcystis sp",3
"576",2014,11,5,"Monoraphydium tortilé",7
"577",2014,11,5,"Monoraphydium griffithi",0
"578",2014,11,5,"Navicula",2
"579",2014,11,5,"Nitzchia",0
"580",2014,11,5,"Oscillatoria",4
"581",2014,11,5,"Pandorina",5
"582",2014,11,5,"Pachycladella",0
"583",2014,11,5,"Phacus",0
"584",2014,11,5,"Plantotrix",26
"585",2014,11,5,"Planctolyngbya sp",0
"586",2014,11,5,"Pseudo Anabaena",0
"587",2014,11,5,"Raphidiopsis",68
"588",2014,11,5,"Rivularia",0
"589",2014,11,5,"Scenedesmus acuminatus",16
"590",2014,11,5,"Scenedesmus cuadricauda",0
"591",2014,11,5,"Scenedesmus dimorphus",2
"592",2014,11,5,"Selenastrum",17
"593",2014,11,5,"Snowella",0
"594",2014,11,5,"Surirella",0
"595",2014,11,5,"Staurastrum",0
"596",2014,11,5,"Stephanodiscus",0
"597",2014,11,5,"Synechoccocus",0
"598",2014,11,5,"Tetrastrum",0
"599",2014,11,5,"Treubaria",4
"600",2014,11,5,"Woronichinia",0
"601",2014,12,1,"Anacystis",0
"602",2014,12,1,"Ankistrodesmus",2
"603",2014,12,1,"Ankistrodesmus falcatus",0
"604",2014,12,1,"Aphanizomenon",0
"605",2014,12,1,"Aphanocapsa",0
"606",2014,12,1,"Arthrospira",0
"607",2014,12,1,"Aulacoseira",0
"608",2014,12,1,"Botryococcus",0
"609",2014,12,1,"Ceratium",0
"610",2014,12,1,"Cyclotella",0
"611",2014,12,1,"Cilindrospermopsis",208
"612",2014,12,1,"Cilindrospermun",0
"613",2014,12,1,"Cimbela",0
"614",2014,12,1,"Chlorella",1
"615",2014,12,1,"Closterium",0
"616",2014,12,1,"Coelastrum",0
"617",2014,12,1,"Coelosphaerium",0
"618",2014,12,1,"Chroococcus",2
"619",2014,12,1,"Coscinodiscus",0
"620",2014,12,1,"Crucigenia tetrapoda",0
"621",2014,12,1,"Crucigenia irregularis",0
"622",2014,12,1,"Dyctiosphaerium",0
"623",2014,12,1,"Eudorina",0
"624",2014,12,1,"Euglena",4
"625",2014,12,1,"Gloeopcapsa",1
"626",2014,12,1,"Gomphosphaeria lacustris",0
"627",2014,12,1,"Golenkinia",0
"628",2014,12,1,"Fragilaria capuchina",0
"629",2014,12,1,"Kirchneirella",0
"630",2014,12,1,"Leptolyngbya",5
"631",2014,12,1,"Leponcinclis",0
"632",2014,12,1,"Lyngbya lagerhemii",0
"633",2014,12,1,"Merismopedia",0
"634",2014,12,1,"Micractinium",0
"635",2014,12,1,"Microcystis sp",0
"636",2014,12,1,"Monoraphydium tortilé",0
"637",2014,12,1,"Monoraphydium griffithi",0
"638",2014,12,1,"Navicula",0
"639",2014,12,1,"Nitzchia",0
"640",2014,12,1,"Oscillatoria",0
"641",2014,12,1,"Pandorina",0
"642",2014,12,1,"Pachycladella",0
"643",2014,12,1,"Phacus",2
"644",2014,12,1,"Plantotrix",14
"645",2014,12,1,"Planctolyngbya sp",2
"646",2014,12,1,"Pseudo Anabaena",0
"647",2014,12,1,"Raphidiopsis",28
"648",2014,12,1,"Rivularia",0
"649",2014,12,1,"Scenedesmus acuminatus",5
"650",2014,12,1,"Scenedesmus cuadricauda",0
